RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
11,293.5290897222222,313.70749986111105,268.9709729166666,580.8960105555556,1799.9175736111108,60.713668583333366,92.90152833333336,42.69097222222222,1698.5416666666667,48.06180441666669,0.9900000100000013,2944.0,0.48889444708333346,92.51028027777772,1178.6682544914322,241656.88184021454,298.50497582384423,1477.1732303152778,205.0253588483083,661
12,295.3967175,317.1754120833334,271.01708388888875,581.8409323611108,1801.955222222222,60.79591081944438,93.1717248611111,42.697916666666664,1697.4305555555557,48.053610222222254,0.9900000100000013,2944.0,0.48371805722222205,92.42615777777772,1174.2636519999994,241415.0,289.44597799999985,1463.7096299999985,205.58841243942345,660
13,294.08366277777765,318.9857308333334,269.57614777777775,581.170943611111,1800.7030513888883,60.86212566666666,93.60042463888888,42.736111111111114,1697.638888888889,48.045253833333334,0.9900000100000013,2944.0,0.4763416652777777,92.5123872638888,1173.9511449999993,244808.0,287.14361600000007,1461.094761,208.5333798111333,659
14,291.46812611111113,310.1318402777777,266.7355554166667,578.8971861111111,1797.0883069444442,60.913940999999944,93.89730637500001,42.638888888888886,1697.4305555555557,48.05243006944447,0.9900000100000013,2944.0,0.4729211494444445,92.47978287499993,1173.6386379999997,248202.0,284.84125499999965,1458.4798929999995,211.48076755802904,658
15,295.07701125000006,313.16324555555565,270.8464075000001,579.8522483333331,1799.359891666666,60.96521326388888,93.9566455277778,42.55555555555556,1695.798611111111,48.06001062500001,0.9900000100000013,2944.0,0.4746305595833334,92.10124443055551,1173.3261309999996,251595.00000000006,282.5388930000005,1455.8650239999993,214.42887305814244,657
16,287.7137330555556,308.66279208333333,263.51988069444445,572.2693530555556,1791.0404097222224,61.029699861111126,94.05648537500001,42.645833333333336,1696.9097222222222,48.054397611111135,0.9900000100000013,2944.0,0.45982222666666683,92.09149491666662,1173.0136250000014,254988.0,280.236531,1453.250155999999,217.3785492048315,656
17,287.98409777777783,311.78473763888894,264.6436280555556,571.2955051388888,1793.253691666666,61.06214670833336,94.15065444444447,42.583333333333336,1696.875,48.05937404166668,0.9900000100000013,2944.0,0.45618750347222226,92.01229563888882,1172.7011179999986,258382.0,277.93416900000005,1450.6352869999982,220.33065035416806,655
18,289.93253444444446,316.42851291666676,266.95607416666667,572.1376315277778,1797.9003694444446,61.10117345833336,94.18852033333332,42.572916666666664,1696.5972222222222,48.05677015277777,0.9900000100000013,2944.0,0.47704722361111124,92.03103068055549,1172.388611000001,261775.0,275.6318070000001,1448.020418,223.28347234345517,654
19,289.0680705555555,316.21478916666655,266.26329749999996,568.5988186111113,1796.3903027777778,61.11038016666669,94.17863516666665,42.40277777777778,1694.201388888889,48.05409666666669,0.9900000100000013,2944.0,0.4675569454166668,91.51662333333331,1166.0408179999993,262260.0,278.183954,1444.2247720000012,224.91493946998347,653
20,291.5073981944444,319.5888052777778,269.10590319444435,569.7319819444446,1798.2198444444446,61.114436125000026,94.16763687500001,42.19097222222222,1693.0902777777778,48.05263226388891,0.9900000100000013,2944.0,0.4810291819444444,91.34722683333331,1159.6930250000003,262745.0,280.73609999999974,1440.4291249999987,226.5642668670879,652
